"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"Central Criminal Court","Criminal",2019,"Rape (Including Attempted Rape)","Rape (Including Attempted Rape)",769,485
"Court Of Appeal","Criminal",2019,"Public Order","Public Order",10,19
"Court Of Appeal","Criminal",2019,"Sexual Offences","Sexual Offences",524,425
"Court Of Appeal","Criminal",2019,"Theft/Fraud/Robbery","Theft/Fraud/Robbery",389,185
"Court Of Appeal","Criminal",2019,"Other","Other",91,91
"District Court","Criminal",2019,"Other","Other",59167,56269
"District Court","Criminal",2019,"Sexual","Sexual",3549,2219
"Circuit Court","Criminal Appeals",2019,"Drugs","Drugs",669,2116
"Special Criminal Court","Criminal",2019,"Threaten To Kill","Threaten To Kill",0,0
"Central Criminal Court","Criminal",2019,"Other","Other",260,160
"Circuit Court","Criminal",2019,"Firearms","Firearms",779,876
"Circuit Court","Criminal",2019,"Drugs","Drugs",2400,2997
"Court Of Appeal","Criminal",2019,"Firearms/Weapon/Possession Of Explosives/Ammunition","Firearms/Weapon/Possession Of Explosives/Ammunition",38,28
"District Court","Criminal",2019,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",37686,25228
"Special Criminal Court","Criminal",2019,"Other","Other",49,34
"Special Criminal Court","Criminal",2019,"Possession Of Firearms/ Ammunition/Explosive Substances","Possession Of Firearms/ Ammunition/Explosive Substances",16,42
"Court Of Appeal","Criminal",2019,"Assault","Assault",107,69
"Court Of Appeal","Criminal",2019,"Manslaughter","Manslaughter",2,5
"Court Of Appeal","Criminal",2019,"Murder","Murder",8,18
"Circuit Court","Criminal",2019,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",6312,6146
"District Court","Criminal",2019,"Road Traffic","Road Traffic",226692,174998
"Circuit Court","Criminal Appeals",2019,"Other","Other",2168,7115
"Circuit Court","Criminal Appeals",2019,"Public Order/Assault","Public Order/Assault",1678,5433
"Central Criminal Court","Criminal",2019,"Murder (Including Attempted Murder)","Murder (Including Attempted Murder)",41,27
"Central Criminal Court","Criminal",2019,"Assault","Assault",70,12
"Circuit Court","Criminal",2019,"Assault","Assault",1609,1783
"Circuit Court","Criminal",2019,"Road Traffic","Road Traffic",184,1126
"Circuit Court","Criminal Appeals",2019,"Road Traffic","Road Traffic",11131,27820
"Circuit Court","Criminal Appeals",2019,"Sexual","Sexual",17,77
"Circuit Court","Criminal Appeals",2019,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",2466,7785
"Court Of Appeal","Criminal",2019,"Drugs/Misuse Of Drugs","Drugs/Misuse Of Drugs",59,65
"Court Of Appeal","Criminal",2019,"Rape","Rape",140,77
"District Court","Criminal",2019,"Public Order/Assault","Public Order/Assault",46144,37549
"Special Criminal Court","Criminal",2019,"Murder","Murder",3,2
"Court Of Appeal","Criminal",2019,"Road Traffic","Road Traffic",72,21
"Circuit Court","Criminal",2019,"Other","Other",3790,2986
"Special Criminal Court","Criminal",2019,"Membership Of Illegal Organisation","Membership Of Illegal Organisation",2,12
"Central Criminal Court","Criminal",2019,"Sexual Offences","Sexual Offences",842,441
"Circuit Court","Criminal",2019,"Manslaughter","Manslaughter",3,7
"Circuit Court","Criminal",2019,"Sexual","Sexual",1410,1766
"Circuit Court","Criminal",2019,"Child Abuse","Child Abuse",0,36
"District Court","Criminal",2019,"Drugs","Drugs",33242,23839
"District Court","Family",2019,"Maintenance","Maintenance",8383,6520
"Circuit Court","Family",2019,"Domestic Violence","Domestic Violence",38,38
"High Court","Family",2019,"Nullity","Nullity",2,1
"Circuit Court","Civil",2019,"Examinership","Examinership",11,9
"High Court","Civil",2019,"Liquidation","Liquidation",87,66
"High Court","Civil",2019,"Bankruptcy Petitions (Creditors)","Bankruptcy Petitions (Creditors)",75,32
"District Court","Civil",2019,"Judgments Marked In The Office","Judgments Marked In The Office",9841,10008
"Circuit Court","Civil",2019,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",796,796
"District Court","Civil",2019,"Other","Other",4365,3168
"Circuit Court","Civil",2019,"Property (Other)","Property (Other)",231,784
"Court Of Appeal","Civil",2019,"Judicial Review (Other)","Judicial Review (Other)",57,71
"High Court","Family",2019,"Judicial Separation","Judicial Separation",23,36
"High Court","Family",2019,"Adoption","Adoption",24,23
"High Court","Civil",2019,"Epo Applications","Epo Applications",96,35
"High Court","Civil",2019,"Judgments Marked In The Office","Judgments Marked In The Office",552,552
"High Court","Civil",2019,"Deed Poll Applications","Deed Poll Applications",820,820
"High Court","Civil",2019,"Personal Insolvency","Personal Insolvency",73,12
"Circuit Court","Civil",2019,"Execution Orders Issued (Court Orders)","Execution Orders Issued (Court Orders)",310,329
"Circuit Court","Civil",2019,"Satisfaction Piece","Satisfaction Piece",70,70
"District Court","Civil",2019,"Personal Injury","Personal Injury",1116,613
"High Court","Civil",2019,"Breach Of Contract","Breach Of Contract",285,100
"High Court","Civil",2019,"European Arrest Warrants","European Arrest Warrants",399,148
"Court Of Appeal","Civil",2019,"Article 40/Habeas Corpus","Article 40/Habeas Corpus",9,8
"Court Of Appeal","Civil",2019,"Family","Family",8,8
"Court Of Appeal","Civil",2019,"Insolvency (Corporate)","Insolvency (Corporate)",1,1
"Court Of Appeal","Civil",2019,"Personal Injury","Personal Injury",59,58
"Court Of Appeal","Civil",2019,"Proceeds Of Crime Act","Proceeds Of Crime Act",3,4
"Court Of Appeal","Civil",2019,"Other","Other",49,43
"High Court","Civil",2019,"District Court To High Court","District Court To High Court",25,7
"High Court","Civil",2019,"Probate: Local Registries","Probate: Local Registries",7521,8207
"Circuit Court","Family",2019,"Divorce","Divorce",4050,3534
"High Court","Family",2019,"Dissolution Of Partnership","Dissolution Of Partnership",0,0
