"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"Court Of Appeal","Criminal",2020,"Public Order","Public Order",9,6
"Court Of Appeal","Criminal",2020,"Sexual Offences","Sexual Offences",441,596
"Court Of Appeal","Criminal",2020,"Theft/Fraud/Robbery","Theft/Fraud/Robbery",516,356
"Court Of Appeal","Criminal",2020,"Other","Other",128,243
"District Court","Criminal",2020,"Other","Other",42176,32563
"District Court","Criminal",2020,"Sexual","Sexual",3411,3610
"Circuit Court","Criminal Appeals",2020,"Drugs","Drugs",764,656
"Central Criminal Court","Criminal",2020,"Rape (Including Attempted Rape)","Rape (Including Attempted Rape)",1130,527
"Central Criminal Court","Criminal",2020,"Other","Other",92,29
"Special Criminal Court","Criminal",2020,"Threaten To Kill","Threaten To Kill",0,0
"Circuit Court","Criminal",2020,"Drugs","Drugs",3261,2774
"Circuit Court","Criminal",2020,"Firearms","Firearms",979,785
"Special Criminal Court","Criminal",2020,"Theft","Theft",4,1
"Court Of Appeal","Criminal",2020,"Firearms/Weapon/Possession Of Explosives/Ammunition","Firearms/Weapon/Possession Of Explosives/Ammunition",26,36
"District Court","Criminal",2020,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",35354,23572
"Special Criminal Court","Criminal",2020,"Possession Of Firearms/ Ammunition/Explosive Substances","Possession Of Firearms/ Ammunition/Explosive Substances",14,22
"Special Criminal Court","Criminal",2020,"Other","Other",116,97
"Court Of Appeal","Criminal",2020,"Assault","Assault",74,88
"Court Of Appeal","Criminal",2020,"Manslaughter","Manslaughter",1,2
"Court Of Appeal","Criminal",2020,"Murder","Murder",13,11
"Circuit Court","Criminal",2020,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",6277,5954
"District Court","Criminal",2020,"Road Traffic","Road Traffic",214056,108632
"Circuit Court","Criminal Appeals",2020,"Other","Other",1370,1397
"Circuit Court","Criminal Appeals",2020,"Public Order/Assault","Public Order/Assault",1291,1321
"Central Criminal Court","Criminal",2020,"Murder (Including Attempted Murder)","Murder (Including Attempted Murder)",42,29
"Circuit Court","Criminal",2020,"Assault","Assault",1881,1469
"Circuit Court","Criminal",2020,"Road Traffic","Road Traffic",794,894
"Circuit Court","Criminal Appeals",2020,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",1432,1557
"Circuit Court","Criminal Appeals",2020,"Road Traffic","Road Traffic",5925,6622
"Circuit Court","Criminal Appeals",2020,"Sexual","Sexual",17,12
"Central Criminal Court","Criminal",2020,"Assault","Assault",73,24
"Court Of Appeal","Criminal",2020,"Drugs/Misuse Of Drugs","Drugs/Misuse Of Drugs",36,67
"Court Of Appeal","Criminal",2020,"Rape","Rape",131,268
"District Court","Criminal",2020,"Public Order/Assault","Public Order/Assault",48823,28751
"Special Criminal Court","Criminal",2020,"Murder","Murder",1,1
"Court Of Appeal","Criminal",2020,"Road Traffic","Road Traffic",30,46
"Circuit Court","Criminal",2020,"Other","Other",3358,3139
"Special Criminal Court","Criminal",2020,"Membership Of Illegal Organisation","Membership Of Illegal Organisation",1,1
"Circuit Court","Criminal",2020,"Manslaughter","Manslaughter",9,1
"Circuit Court","Criminal",2020,"Sexual","Sexual",1668,1158
"Circuit Court","Criminal",2020,"Child Abuse","Child Abuse",48,49
"District Court","Criminal",2020,"Drugs","Drugs",38635,19206
