"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"District Court","Criminal",2022,"Sexual","Sexual",3212,2963
"District Court","Criminal",2022,"Other","Other",47990,46938
"Central Criminal Court","Criminal",2022,"Rape (Including Attempted Rape)","Rape (Including Attempted Rape)",1112,675
"Circuit Court","Criminal Appeals",2022,"Drugs","Drugs",977,1035
"Court Of Appeal","Criminal",2022,"Public Order","Public Order",15,8
"Court Of Appeal","Criminal",2022,"Sexual Offences","Sexual Offences",707,478
"Court Of Appeal","Criminal",2022,"Theft/Fraud/Robbery","Theft/Fraud/Robbery",266,575
"Court Of Appeal","Criminal",2022,"Other","Other",307,155
"Circuit Court","Criminal",2022,"Drugs","Drugs",3151,4247
"Circuit Court","Criminal",2022,"Firearms","Firearms",847,1080
"Special Criminal Court","Criminal",2022,"Threaten To Kill","Threaten To Kill",0,0
"Central Criminal Court","Criminal",2022,"Other","Other",69,137
"District Court","Criminal",2022,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",30692,27253
"Special Criminal Court","Criminal",2022,"Theft","Theft",0,7
"Court Of Appeal","Criminal",2022,"Firearms/Weapon/Possession Of Explosives/Ammunition","Firearms/Weapon/Possession Of Explosives/Ammunition",60,37
"District Court","Criminal",2022,"Road Traffic","Road Traffic",181969,148308
"Circuit Court","Criminal",2022,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",6726,7169
"Special Criminal Court","Criminal",2022,"Possession Of Firearms/ Ammunition/Explosive Substances","Possession Of Firearms/ Ammunition/Explosive Substances",6,5
"Special Criminal Court","Criminal",2022,"Other","Other",61,39
"Circuit Court","Criminal Appeals",2022,"Public Order/Assault","Public Order/Assault",2091,2173
"Circuit Court","Criminal Appeals",2022,"Other","Other",1950,2029
"Court Of Appeal","Criminal",2022,"Assault","Assault",100,107
"Court Of Appeal","Criminal",2022,"Manslaughter","Manslaughter",0,4
"Court Of Appeal","Criminal",2022,"Murder","Murder",14,16
"Circuit Court","Criminal",2022,"Road Traffic","Road Traffic",372,1135
"Circuit Court","Criminal",2022,"Assault","Assault",1428,2528
"Central Criminal Court","Criminal",2022,"Murder (Including Attempted Murder)","Murder (Including Attempted Murder)",43,43
"Central Criminal Court","Criminal",2022,"Assault","Assault",67,94
"Circuit Court","Criminal Appeals",2022,"Road Traffic","Road Traffic",7950,8492
"Circuit Court","Criminal Appeals",2022,"Sexual","Sexual",38,15
"Circuit Court","Criminal Appeals",2022,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",2184,2107
"District Court","Criminal",2022,"Public Order/Assault","Public Order/Assault",44917,38868
"Court Of Appeal","Criminal",2022,"Drugs/Misuse Of Drugs","Drugs/Misuse Of Drugs",144,122
"Court Of Appeal","Criminal",2022,"Rape","Rape",323,329
"Circuit Court","Criminal",2022,"Other","Other",3537,4001
"Special Criminal Court","Criminal",2022,"Murder","Murder",2,5
"Court Of Appeal","Criminal",2022,"Road Traffic","Road Traffic",86,41
"District Court","Criminal",2022,"Drugs","Drugs",30045,24550
"Circuit Court","Criminal",2022,"Sexual","Sexual",1799,1769
"Circuit Court","Criminal",2022,"Child Abuse","Child Abuse",72,117
"Circuit Court","Criminal",2022,"Manslaughter","Manslaughter",2,5
"Special Criminal Court","Criminal",2022,"Membership Of Illegal Organisation","Membership Of Illegal Organisation",0,1
"Central Criminal Court","Criminal",2022,"Sexual Offences","Sexual Offences",1730,1177
