"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"Central Criminal Court","Criminal",2017,"Rape (Including Attempted Rape)","Rape (Including Attempted Rape)",755,943
"Court Of Appeal","Criminal",2017,"Public Order","Public Order",1,11
"Court Of Appeal","Criminal",2017,"Sexual Offences","Sexual Offences",500,483
"Court Of Appeal","Criminal",2017,"Theft/Fraud/Robbery","Theft/Fraud/Robbery",287,150
"Court Of Appeal","Criminal",2017,"Other","Other",58,122
"District Court","Criminal",2017,"Other","Other",61417,57312
"District Court","Criminal",2017,"Sexual","Sexual",2828,2968
"Circuit Court","Criminal Appeals",2017,"Drugs","Drugs",548,1191
"Special Criminal Court","Criminal",2017,"Threaten To Kill","Threaten To Kill",0,3
"Central Criminal Court","Criminal",2017,"Other","Other",71,67
"Circuit Court","Criminal",2017,"Firearms","Firearms",689,1210
"Circuit Court","Criminal",2017,"Drugs","Drugs",1955,3070
"Special Criminal Court","Criminal",2017,"Theft","Theft",0,0
"Court Of Appeal","Criminal",2017,"Firearms/Weapon/Possession Of Explosives/Ammunition","Firearms/Weapon/Possession Of Explosives/Ammunition",39,30
"District Court","Criminal",2017,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",32018,27207
"Special Criminal Court","Criminal",2017,"Other","Other",11,14
"Special Criminal Court","Criminal",2017,"Possession Of Firearms/ Ammunition/Explosive Substances","Possession Of Firearms/ Ammunition/Explosive Substances",24,17
"Court Of Appeal","Criminal",2017,"Assault","Assault",102,76
"Court Of Appeal","Criminal",2017,"Manslaughter","Manslaughter",2,3
"Court Of Appeal","Criminal",2017,"Murder","Murder",18,20
"Circuit Court","Criminal",2017,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",4972,8635
"District Court","Criminal",2017,"Road Traffic","Road Traffic",233018,170447
"Circuit Court","Criminal Appeals",2017,"Public Order/Assault","Public Order/Assault",1456,3402
"Circuit Court","Criminal Appeals",2017,"Other","Other",2045,4154
"Central Criminal Court","Criminal",2017,"Murder (Including Attempted Murder)","Murder (Including Attempted Murder)",41,34
"Central Criminal Court","Criminal",2017,"Assault","Assault",19,17
"Circuit Court","Criminal",2017,"Assault","Assault",1441,2417
"Circuit Court","Criminal",2017,"Road Traffic","Road Traffic",196,1458
"Circuit Court","Criminal Appeals",2017,"Road Traffic","Road Traffic",12748,20560
"Circuit Court","Criminal Appeals",2017,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",1993,4077
"Circuit Court","Criminal Appeals",2017,"Sexual","Sexual",23,26
"Court Of Appeal","Criminal",2017,"Drugs/Misuse Of Drugs","Drugs/Misuse Of Drugs",32,36
"Court Of Appeal","Criminal",2017,"Rape","Rape",214,95
"District Court","Criminal",2017,"Public Order/Assault","Public Order/Assault",38710,31727
"Special Criminal Court","Criminal",2017,"Murder","Murder",10,2
"Court Of Appeal","Criminal",2017,"Road Traffic","Road Traffic",28,52
"Circuit Court","Criminal",2017,"Other","Other",3277,3984
"Special Criminal Court","Criminal",2017,"Membership Of Illegal Organisation","Membership Of Illegal Organisation",9,14
"Central Criminal Court","Criminal",2017,"Sexual Offences","Sexual Offences",875,1037
"Circuit Court","Criminal",2017,"Sexual","Sexual",1440,1393
"Circuit Court","Criminal",2017,"Child Abuse","Child Abuse",0,29
"Circuit Court","Criminal",2017,"Manslaughter","Manslaughter",4,4
"District Court","Criminal",2017,"Drugs","Drugs",23216,16704
"District Court","Civil",2017,"Other","Other",5679,3904
"Circuit Court","Civil",2017,"Property (Other)","Property (Other)",585,842
"District Court","Family",2017,"Maintenance","Maintenance",9234,11936
"Circuit Court","Family",2017,"Domestic Violence","Domestic Violence",51,51
"High Court","Family",2017,"Nullity","Nullity",1,3
"Circuit Court","Civil",2017,"Examinership","Examinership",5,4
"High Court","Civil",2017,"Liquidation","Liquidation",95,68
"High Court","Civil",2017,"Bankruptcy Petitions (Creditors)","Bankruptcy Petitions (Creditors)",47,41
"District Court","Civil",2017,"Judgments Marked In The Office","Judgments Marked In The Office",6882,7400
"Circuit Court","Civil",2017,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",1216,1216
"Court Of Appeal","Civil",2017,"Judicial Review (Other)","Judicial Review (Other)",62,35
"District Court","Civil",2017,"Personal Injury","Personal Injury",1011,527
"High Court","Civil",2017,"Breach Of Contract","Breach Of Contract",327,119
"High Court","Civil",2017,"European Arrest Warrants","European Arrest Warrants",344,86
"High Court","Family",2017,"Judicial Separation","Judicial Separation",23,55
"High Court","Family",2017,"Adoption","Adoption",37,44
"High Court","Civil",2017,"Epo Applications","Epo Applications",110,28
"High Court","Civil",2017,"Judgments Marked In The Office","Judgments Marked In The Office",844,844
"High Court","Civil",2017,"Deed Poll Applications","Deed Poll Applications",826,826
"High Court","Civil",2017,"Personal Insolvency","Personal Insolvency",60,10
"Circuit Court","Civil",2017,"Execution Orders Issued (Court Orders)","Execution Orders Issued (Court Orders)",906,896
"Circuit Court","Civil",2017,"Satisfaction Piece","Satisfaction Piece",99,99
"High Court","Civil",2017,"District Court To High Court","District Court To High Court",25,17
"Court Of Appeal","Civil",2017,"Article 40/Habeas Corpus","Article 40/Habeas Corpus",10,14
"Court Of Appeal","Civil",2017,"Family","Family",10,7
"Court Of Appeal","Civil",2017,"Insolvency (Corporate)","Insolvency (Corporate)",1,5
"Court Of Appeal","Civil",2017,"Personal Injury","Personal Injury",65,59
"Court Of Appeal","Civil",2017,"Proceeds Of Crime Act","Proceeds Of Crime Act",3,2
"Court Of Appeal","Civil",2017,"Other","Other",55,41
"High Court","Civil",2017,"Probate: Local Registries","Probate: Local Registries",8373,7793
"High Court","Civil",2017,"Commercial","Commercial",193,123
"High Court","Civil",2017,"Chancery","Chancery",2269,579
"High Court","Civil",2017,"Judicial Review (Other)","Judicial Review (Other)",464,283
"Circuit Court","Family",2017,"Divorce","Divorce",3964,3389
"High Court","Family",2017,"Dissolution Of Partnership","Dissolution Of Partnership",1,0
"High Court","Family",2017,"Child Abduction","Child Abduction",36,44
"Circuit Court","Civil",2017,"Mental Health Applications","Mental Health Applications",82,81
"High Court","Civil",2017,"Persons Declared Wards Of Court","Persons Declared Wards Of Court",425,357
"High Court","Civil",2017,"Execution Orders Issued (Judgments)","Execution Orders Issued (Judgments)",1165,1165
"High Court","Civil",2017,"Execution Orders Issued (Possession)","Execution Orders Issued (Possession)",36,36
"Court Of Appeal","Civil",2017,"Commercial","Commercial",42,39
"Court Of Appeal","Civil",2017,"Company","Company",12,8
"Court Of Appeal","Civil",2017,"Extradition","Extradition",3,4
"District Court","Civil",2017,"Liquidated Debt","Liquidated Debt",15332,8656
"Circuit Court","Civil",2017,"Property (Possession)","Property (Possession)",3640,2587
"Circuit Court","Civil",2017,"Defamation","Defamation",135,6
"Circuit Court","Civil",2017,"Employment (Dismissal)","Employment (Dismissal)",48,73
"High Court","Civil",2017,"Property (Other)","Property (Other)",59,39
"High Court","Civil",2017,"Assault","Assault",117,30
