"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"District Court","Family",2017,"Family Law (Other)","Family Law (Other)",1290,1707
"Circuit Court","Family",2017,"Judicial Separation","Judicial Separation",1271,735
"Circuit Court","Family",2017,"Nullity","Nullity",23,19
"District Court","Civil",2017,"Litigious Enforcement","Litigious Enforcement",2692,2692
"Circuit Court","Civil",2017,"Licensing","Licensing",298,298
"Court Of Appeal","Civil",2017,"Bail","Bail",12,22
"Court Of Appeal","Civil",2017,"Criminal","Criminal",22,21
"Supreme Court","Supreme Court",2017,"Appeals (Legacy)","Appeals (Legacy)",0,80
"Supreme Court","Supreme Court",2017,"Applications For Leave","Applications For Leave",176,160
"District Court","Civil",2017,"Small Claims","Small Claims",3274,3033
"Circuit Court","Civil",2017,"Other","Other",3625,2656
"High Court","Civil",2017,"Personal Injury","Personal Injury",8909,3910
"District Court","Family",2017,"Guardianship Custody And Access","Guardianship Custody And Access",12442,13728
"High Court","Family",2017,"Maintenance","Maintenance",1,2
"High Court","Civil",2017,"Bankruptcy Summonses","Bankruptcy Summonses",68,66
"District Court","Civil",2017,"Licensing","Licensing",46448,46448
"Circuit Court","Civil",2017,"Personal Insolvency","Personal Insolvency",2385,1168
"High Court","Civil",2017,"Enduring Powers Of Attorney","Enduring Powers Of Attorney",928,750
"High Court","Civil",2017,"Bankruptcy Petitions (Self)","Bankruptcy Petitions (Self)",454,432
"District Court","Civil",2017,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",1029,1029
"Court Of Appeal","Civil",2017,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",32,27
"Court Of Appeal","Civil",2017,"Security For Costs","Security For Costs",4,3
"Circuit Court","Civil",2017,"Personal Injury","Personal Injury",12497,7609
"High Court","Civil",2017,"Property (Possession)","Property (Possession)",301,87
"High Court","Civil",2017,"Liquidated Debt","Liquidated Debt",3042,1512
"High Court","Civil",2017,"Proceeds Of Crime","Proceeds Of Crime",32,11
"High Court","Civil",2017,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",497,332
"District Court","Family",2017,"Domestic Violence","Domestic Violence",15962,16314
"District Court","Family",2017,"Child Care","Child Care",11931,10635
"High Court","Family",2017,"Child Care","Child Care",32,21
"High Court","Civil",2017,"Disqualify Directors","Disqualify Directors",0,2
"District Court","Civil",2017,"Appeals To District Court","Appeals To District Court",111,57
"Circuit Court","Civil",2017,"Judgments Marked In The Office","Judgments Marked In The Office",1911,1775
"District Court","Civil",2017,"Maintenance (Foreign)","Maintenance (Foreign)",122,72
"Circuit Court","Civil",2017,"Service Of Documents","Service Of Documents",4528,4528
"High Court","Civil",2017,"Maintenance (Foreign)","Maintenance (Foreign)",45,15
"High Court","Civil",2017,"Judgments Registered","Judgments Registered",2904,2904
"High Court","Civil",2017,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",1118,1118
"High Court","Civil",2017,"Revenue To High Court","Revenue To High Court",6,2
"Court Of Appeal","Civil",2017,"Plenary","Plenary",40,29
"Court Of Appeal","Civil",2017,"Summary Judgment","Summary Judgment",89,52
"Circuit Court","Civil",2017,"Liquidated Debt","Liquidated Debt",2806,2496
"High Court","Civil",2017,"Negligence","Negligence",324,98
"High Court","Civil",2017,"Defamation","Defamation",152,16
"High Court","Civil",2017,"Employment (Dismissal)","Employment (Dismissal)",2,0
"High Court","Civil",2017,"Employment (Other)","Employment (Other)",13,1
"High Court","Civil",2017,"Garda Compensation","Garda Compensation",149,113
"High Court","Family",2017,"Cohabitation","Cohabitation",6,2
"District Court","Civil",2017,"Foreign Proceedings (Other)","Foreign Proceedings (Other)",116,116
"High Court","Civil",2017,"Service Of Documents","Service Of Documents",107,107
"District Court","Civil",2017,"Satisfaction Piece","Satisfaction Piece",159,159
"Circuit Court","Civil",2017,"Execution Orders Issued (Possession)","Execution Orders Issued (Possession)",592,587
"High Court","Civil",2017,"Circuit Court To High Court","Circuit Court To High Court",645,339
"Court Of Appeal","Civil",2017,"Chancery","Chancery",119,90
"Court Of Appeal","Civil",2017,"Insolvency (Personal)","Insolvency (Personal)",11,3
"District Court","Civil",2017,"Property (Other)","Property (Other)",109,62
"Circuit Court","Civil",2017,"Employment (Other)","Employment (Other)",65,20
"High Court","Civil",2017,"Regulation Of Professions","Regulation Of Professions",147,149
"High Court","Civil",2017,"Habeas Corpus","Habeas Corpus",128,54
"High Court","Civil",2017,"Bail","Bail",1381,1381
"Circuit Court","Family",2017,"Dissolution Of Partnership","Dissolution Of Partnership",56,23
"Circuit Court","Family",2017,"Other","Other",207,19
"High Court","Family",2017,"Divorce","Divorce",31,45
"High Court","Civil",2017,"Examinership","Examinership",14,72
"High Court","Civil",2017,"Restrict Directors","Restrict Directors",14,16
"Circuit Court","Civil",2017,"Care Representatives","Care Representatives",607,571
"Circuit Court","Civil",2017,"Marriage Exemption","Marriage Exemption",523,452
"High Court","Civil",2017,"Probate: Principal Registry","Probate: Principal Registry",8231,8287
"Circuit Court","Civil",2017,"Execution Orders Issued (Judgments)","Execution Orders Issued (Judgments)",1911,1775
"High Court","Civil",2017,"Satisfaction Piece","Satisfaction Piece",33,33
"Circuit Court","Civil",2017,"District Court To Circuit Court ","District Court To Circuit Court ",1386,934
"Court Of Appeal","Civil",2017,"Contract","Contract",19,9
"Supreme Court","Supreme Court",2017,"Appeals (Current)","Appeals (Current)",58,35
