"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"Court of Appeal","Criminal",2024,"Firearms/Weapon/Possession Of Explosives/Ammunition","Firearms/Weapon/Possession Of Explosives/Ammunition",52,47
"Central Criminal Court","Criminal",2024,"Rape (Including Attempted Rape)","Rape (Including Attempted Rape)",1075,1290
"District Court","Criminal",2024,"Other","Other",41838,40062
"District Court","Criminal",2024,"Sexual","Sexual",3650,3694
"Circuit Court","Criminal Appeals",2024,"Drugs","Drugs",953,1314
"Court of Appeal","Criminal",2024,"Murder","Murder",14,20
"Special Criminal Court","Criminal",2024,"Threaten To Kill","Threaten To Kill",1,1
"Central Criminal Court","Criminal",2024,"Other","Other",72,198
"Circuit Court","Criminal",2024,"Drugs","Drugs",3653,4697
"Circuit Court","Criminal",2024,"Firearms","Firearms",931,1173
"Court of Appeal","Criminal",2024,"Road Traffic","Road Traffic",179,119
"Special Criminal Court","Criminal",2024,"Theft","Theft",0,9
"District Court","Criminal",2024,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",39038,32827
"Special Criminal Court","Criminal",2024,"Possession Of Firearms/ Ammunition/Explosive Substances","Possession Of Firearms/ Ammunition/Explosive Substances",13,7
"Special Criminal Court","Criminal",2024,"Other","Other",50,30
"District Court","Criminal",2024,"Road Traffic","Road Traffic",185578,161995
"District Court","Criminal",2024,"Domestic Violence","Domestic Violence",5009,4442
"Circuit Court","Criminal",2024,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",6502,6096
"Circuit Court","Criminal Appeals",2024,"Public Order/Assault","Public Order/Assault",1687,2249
"Circuit Court","Criminal Appeals",2024,"Other","Other",1591,1974
"Court of Appeal","Criminal",2024,"Sexual Offences","Sexual Offences",1067,581
"Court of Appeal","Criminal",2024,"Criminal Damage","Criminal Damage",1,
"Central Criminal Court","Criminal",2024,"Assault","Assault",73,89
"Central Criminal Court","Criminal",2024,"Murder (Including Attempted Murder)","Murder (Including Attempted Murder)",47,42
"Circuit Court","Criminal",2024,"Assault","Assault",1719,2762
"Circuit Court","Criminal",2024,"Road Traffic","Road Traffic",336,1316
"Circuit Court","Criminal Appeals",2024,"Sexual","Sexual",52,54
"Circuit Court","Criminal Appeals",2024,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",1796,2262
