"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"Circuit Court","Criminal Appeals",2024,"Road Traffic","Road Traffic",6849,8192
"Court of Appeal","Criminal",2024,"Rape","Rape",544,315
"Court of Appeal","Criminal",2024,"Other","Other",501,349
"District Court","Criminal",2024,"Public Order/Assault","Public Order/Assault",47956,40479
"Circuit Court","Criminal",2024,"Domestic Violence","Domestic Violence",17,81
"Court of Appeal","Criminal",2024,"Manslaughter","Manslaughter",0,1
"Court of Appeal","Criminal",2024,"Public Order","Public Order",34,14
"Court of Appeal","Criminal",2024,"Assault","Assault",256,131
"Court of Appeal","Criminal",2024,"Drugs/Misuse Of Drugs","Drugs/Misuse Of Drugs",97,179
"Special Criminal Court","Criminal",2024,"Murder","Murder",4,0
"Circuit Court","Criminal",2024,"Other","Other",4442,5865
"Circuit Court","Criminal Appeals",2024,"Domestic Violence","Domestic Violence",303,327
"Court of Appeal","Criminal",2024,"Theft/Fraud/Robbery","Theft/Fraud/Robbery",449,258
"Special Criminal Court","Criminal",2024,"Membership Of Illegal Organisation","Membership Of Illegal Organisation",0,0
"Central Criminal Court","Criminal",2024,"Sexual Offences","Sexual Offences",1543,1719
"District Court","Criminal",2024,"Drugs","Drugs",27783,26288
"Circuit Court","Criminal",2024,"Child Abuse","Child Abuse",56,35
"Circuit Court","Criminal",2024,"Sexual","Sexual",2288,2411
"Circuit Court","Family",2024,"Domestic Violence","Domestic Violence",77,77
"District Court","Civil",2024,"Judgments Marked In The Office","Judgments Marked In The Office",6800,8629
"District Court","Civil",2024,"Other","Other",5221,4698
"District Court","Family",2024,"Maintenance","Maintenance",5845,5986
"High Court","Family",2024,"Nullity","Nullity",0,0
"High Court","Civil",2024,"Judicial Review Sid","Judicial Review Sid",241,253
"Court of Appeal","Civil",2024,"Bail","Bail",11,10
"Court of Appeal","Civil",2024,"Chancery","Chancery",46,68
"Court of Appeal","Civil",2024,"Personal Injury","Personal Injury",14,17
"Court of Appeal","Civil",2024,"Plenary","Plenary",48,42
"Circuit Court","Civil",2024,"Property (Other)","Property (Other)",128,622
"Circuit Court","Civil",2024,"Examinership","Examinership",4,0
"Circuit Court","Civil",2024,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",279,279
"District Court","Civil",2024,"Personal Injury","Personal Injury",1149,695
"High Court","Family",2024,"Adoption","Adoption",53,45
"High Court","Family",2024,"Judicial Separation","Judicial Separation",22,17
"High Court","Civil",2024,"Breach Of Contract","Breach Of Contract",1435,239
"High Court","Civil",2024,"Personal Insolvency","Personal Insolvency",10,11
"High Court","Civil",2024,"European Arrest Warrants","European Arrest Warrants",265,226
"Court of Appeal","Civil",2024,"Company","Company",3,3
"Court of Appeal","Civil",2024,"Security For Costs","Security For Costs",0,0
"High Court","Civil",2024,"Probate: Local Registries","Probate: Local Registries",10737,10111
"Circuit Court","Family",2024,"Family Law (Other)","Family Law (Other)",282,18
"High Court","Family",2024,"Child Abduction","Child Abduction",26,27
"High Court","Civil",2024,"Chancery","Chancery",1452,801
"High Court","Civil",2024,"Commercial","Commercial",76,108
"High Court","Civil",2024,"Judicial Review (Other)","Judicial Review (Other)",896,835
"Court of Appeal","Civil",2024,"Commercial","Commercial",21,51
"Circuit Court","Civil",2024,"Mental Health Applications","Mental Health Applications",160,45
"Circuit Court","Family",2024,"Marriage Exemption","Marriage Exemption",502,402
"Circuit Court","Family",2024,"Divorce","Divorce",4913,4617
"Circuit Court","Civil",2024,"Execution Orders Issued","Execution Orders Issued",1733,1446
"District Court","Civil",2024,"Liquidated Debt","Liquidated Debt",19401,9802
"District Court","Family",2024,"Family Law (Other)","Family Law (Other)",1928,1776
"Supreme Court","Supreme Court",2024,"Appeals (Legacy)","Appeals (Legacy)",0,0
"Supreme Court","Supreme Court",2024,"Applications For Leave","Applications For Leave",182,183
"High Court","Civil",2024,"Assault","Assault",144,109
"High Court","Civil",2024,"Property (Other)","Property (Other)",32,15
"District Court","Civil",2024,"Litigious Enforcement","Litigious Enforcement",958,1208
"Court of Appeal","Civil",2024,"Constitution","Constitution",0,0
"Court of Appeal","Civil",2024,"Family","Family",11,12
"Court of Appeal","Civil",2024,"Other","Other",38,56
"Circuit Court","Civil",2024,"Licensing","Licensing",201,200
"Circuit Court","Civil",2024,"Property (Possession)","Property (Possession)",1064,299
"Circuit Court","Civil",2024,"Employment (Dismissal)","Employment (Dismissal)",8,3
"Circuit Court","Civil",2024,"Defamation","Defamation",228,14
"Circuit Court","Family",2024,"Judicial Separation","Judicial Separation",482,292
"Circuit Court","Family",2024,"Nullity","Nullity",15,5
"District Court","Family",2024,"Guardianship Custody And Access","Guardianship Custody And Access",10855,11507
"High Court","Family",2024,"Maintenance","Maintenance",1,0
"High Court","Civil",2024,"Personal Injury","Personal Injury",4612,4314
"District Court","Civil",2024,"Licensing","Licensing",40276,39686
"Circuit Court","Civil",2024,"Assisted Decision Making","Assisted Decision Making",950,622
"District Court","Civil",2024,"Small Claims","Small Claims",2081,2135
"District Court","Civil",2024,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",287,287
"Court of Appeal","Civil",2024,"Judicial Review (Other)","Judicial Review (Other)",44,44
"High Court","Family",2024,"Family Law (Other)","Family Law (Other)",75,30
"Circuit Court","Civil",2024,"Personal Insolvency","Personal Insolvency",3453,3561
"Circuit Court","Civil",2024,"Other","Other",3711,2218
"District Court","Civil",2024,"Maintenance (Foreign)","Maintenance (Foreign)",104,38
"District Court","Family",2024,"Child Care","Child Care",21797,12973
"District Court","Family",2024,"Domestic Violence","Domestic Violence",25270,25739
"High Court","Family",2024,"Child Care","Child Care",67,52
"Court of Appeal","Civil",2024,"Criminal","Criminal",18,17
"High Court","Civil",2024,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",736,371
"High Court","Civil",2024,"Liquidated Debt","Liquidated Debt",909,1056
"High Court","Civil",2024,"Proceeds Of Crime","Proceeds Of Crime",60,19
"High Court","Civil",2024,"Property (Possession)","Property (Possession)",71,132
"District Court","Civil",2024,"Appeals To District Court","Appeals To District Court",104,126
"Court of Appeal","Civil",2024,"Extradition","Extradition",2,3
"Court of Appeal","Civil",2024,"Insolvency (Corporate)","Insolvency (Corporate)",0,0
"Court of Appeal","Civil",2024,"Summary Judgment","Summary Judgment",15,12
"Circuit Court","Civil",2024,"Judgments Marked In The Office","Judgments Marked In The Office",1251,914
"Circuit Court","Civil",2024,"Personal Injury","Personal Injury",7228,6363
"High Court","Family",2024,"Cohabitation","Cohabitation",9,8
"High Court","Civil",2024,"Defamation","Defamation",61,45
"High Court","Civil",2024,"Employment (Dismissal)","Employment (Dismissal)",1,0
"High Court","Civil",2024,"Employment (Other)","Employment (Other)",10,3
"High Court","Civil",2024,"Other","Other",1130,560
"High Court","Civil",2024,"Negligence","Negligence",161,218
"High Court","Civil",2024,"Garda Compensation","Garda Compensation",3,99
"Court of Appeal","Civil",2024,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",12,14
"District Court","Civil",2024,"Satisfaction Piece","Satisfaction Piece",68,68
"Circuit Court","Civil",2024,"Liquidated Debt","Liquidated Debt",2274,1247
"District Court","Civil",2024,"Property (Other)","Property (Other)",155,115
"Circuit Court","Civil",2024,"District Court To Circuit Court ","District Court To Circuit Court ",871,2318
"Supreme Court","Supreme Court",2024,"Appeals (Current)","Appeals (Current)",49,56
"High Court","Family",2024,"Divorce","Divorce",91,67
"High Court","Civil",2024,"Bail","Bail",1871,1279
"High Court","Civil",2024,"Habeas Corpus","Habeas Corpus",83,56
"High Court","Civil",2024,"Regulation Of Professions","Regulation Of Professions",232,183
"High Court","Civil",2024,"Personal Insolvency Cc To Hc","Personal Insolvency Cc To Hc",125,20
"Court of Appeal","Civil",2024,"Article 40/Habeas Corpus","Article 40/Habeas Corpus",4,4
"Court of Appeal","Civil",2024,"Contract","Contract",0,0
"Court of Appeal","Civil",2024,"Insolvency (Personal)","Insolvency (Personal)",2,5
"Court of Appeal","Civil",2024,"Proceeds Of Crime Act","Proceeds Of Crime Act",4,4
"High Court","Civil",2024,"Probate: Principal Registry","Probate: Principal Registry",10606,13137
"Circuit Court","Civil",2024,"Care Representatives","Care Representatives",3,1
"Circuit Court","Civil",2024,"Employment (Other)","Employment (Other)",18,13
"Circuit Court","Family",2024,"Dissolution Of Partnership","Dissolution Of Partnership",38,33
